Company Name,Symbol
RReliance Industries,"1,409.30Invest"
HHDFC Bank,"1,964.75Invest"
TTata Consultancy Services,"3,053.65Invest"
BBharti Airtel,"1,932.90Invest"
IICICI Bank,"1,436.20Invest"
SState Bank of India,816.50Invest
HHindustan Unilever,"2,628.85Invest"
IInfosys,"1,487.60Invest"
LLIC of India,889.65Invest
BBajaj Finance,894.65Invest
IITC,398.30Invest
LLarsen & Toubro,"3,595.45Invest"
MMaruti Suzuki,"14,375.00Invest"
MMahindra & Mahindra,"3,400.00Invest"
HHCL Technologies,"1,466.45Invest"
KKotak Bank,"1,983.70Invest"
SSun Pharmaceutical,"1,642.90Invest"
UUltraTech Cement,"12,614.70Invest"
AAxis Bank,"1,070.40Invest"
NNTPC,337.10Invest
TTitan,"3,618.90Invest"
BBajaj Finserv,"1,965.00Invest"
EEternal,318.90Invest
AAvenue Supermarts DMart,"4,697.80Invest"
OOil & Natural Gas Corporation,236.30Invest
HHindustan Aeronautics,"4,471.95Invest"
AAdani Ports & SEZ,"1,340.35Invest"
AAdani Enterprises,"2,324.65Invest"
BBharat Electronics,374.85Invest
PPower Grid Corporation of India,283.35Invest
JJSW Steel,"1,053.95Invest"
WWipro,248.60Invest
TTata Motors,680.25Invest
AAsian Paints,"2,504.20Invest"
BBajaj Auto,"8,685.00Invest"
IInterglobe Aviation,"6,085.00Invest"
CCoal India,374.35Invest
AAdani Power,594.60Invest
NNestle,"1,160.15Invest"
JJio Financial Services,320.75Invest
TTata Steel,158.55Invest
IIndian Oil Corporation,139.95Invest
HHyundai Motor India,"2,367.15Invest"
GGrasim Industries,"2,814.00Invest"
TTrent,"5,422.00Invest"
DDLF,763.00Invest
SSBI Life Insurance,"1,857.00Invest"
HHindustan Zinc,425.00Invest
VVarun Beverages,516.55Invest
VVedanta,444.30Invest
HHDFC Life Insurance,788.45Invest
IIRFC,125.00Invest
EEicher Motors,"5,931.00Invest"
DDivis Laboratories,"6,155.00Invest"
HHindalco Industries,704.65Invest
PPidilite Industries,"3,078.00Invest"
TTVS Motors,"3,297.90Invest"
LLTI Mindtree,"5,220.00Invest"
AAdani Green Energy,958.05Invest
BBajaj Holdings & Investments,"13,533.00Invest"
TTech Mahindra,"1,502.50Invest"
AAmbuja Cements,579.95Invest
BBharat Petroleum,316.50Invest
BBritannia Industries,"5,572.00Invest"
PPower Finance Corporation,399.75Invest
SSolar Industries,"14,819.95Invest"
LLodha Developers,"1,261.95Invest"
CCipla,"1,591.10Invest"
CCholamandalam Investment,"1,525.35Invest"
GGodrej Consumer Products,"1,257.85Invest"
BBank of Baroda,240.45Invest
TTata Power,385.90Invest
HHDFC AMC,"5,817.95Invest"
TTorrent Pharmaceuticals,"3,691.30Invest"
PPunjab National Bank,105.50Invest
MMax Healthcare Institute,"1,230.00Invest"
GGAIL,176.60Invest
SShriram Finance,616.00Invest
