Company,Years_Present,Missing_Years,Missing_Count
PICCADILY AGRO INDUSTRIES LTD,"2016, 2019, 2021, 2022, 2023, 2024, 2025","2017, 2018, 2020",3
CIAN AGRO INDUSTRIES & INFRASTRUCTURE LIMITED,"2016, 2018, 2019, 2020, 2021, 2023, 2024, 2025","2017, 2022",2
K.P.R. MILL LTD,"2016, 2019, 2020, 2021, 2022, 2023, 2024, 2025","2017, 2018",2
ADVANCED ENZYME TECHNOLOGIES LIMITED,"2016, 2017, 2018, 2019, 2020, 2021, 2023, 2024, 2025",2022,1
BLACK BOX LIMITED,"2016, 2017, 2018, 2019, 2020, 2021, 2023, 2024, 2025",2022,1
CHENNAI PETROLEUM CORPORATION LTD,"2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2017,1
EFC (I) LIMITED,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2016,1
HATSUN AGRO PRODUCTS LTD,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2016,1
INDO THAI SECURITIES LIMITED,"2016, 2017, 2018, 2019, 2020, 2021, 2023, 2024, 2025",2022,1
JUBILANT FOODWORKS LIMITED,"2016, 2017, 2018, 2019, 2020, 2021, 2023, 2024, 2025",2022,1
KOVAI MEDICAL CENTER & HOSPITAL LTD,"2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025",2019,1
LT FOODS LIMITED,"2016, 2017, 2018, 2019, 2020, 2021, 2023, 2024, 2025",2022,1
MARSONS LIMITED,"2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2017,1
MMTC LTD,"2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025",2020,1
MOLD-TEK PACKAGING LIMITED,"2016, 2017, 2018, 2019, 2020, 2021, 2023, 2024, 2025",2022,1
NBCC (INDIA) LIMITED,"2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2017,1
OIL INDIA LIMITED,"2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2017,1
TANLA PLATFORMS LIMITED,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2016,1
TATA CHEMICALS LTD,"2016, 2017, 2018, 2019, 2020, 2021, 2023, 2024, 2025",2022,1
TECH MAHINDRA LIMITED,"2016, 2017, 2018, 2019, 2020, 2021, 2023, 2024, 2025",2022,1
VERITAS (INDIA) LTD,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",2016,1
